10,4,1000,0.00169352,0.000552017,0.000579358,0.000705738
10,8,1000,0.00165519,0.00054758,0.000508202,0.000706916
10,16,1000,0.00165542,0.00064788,0.000613129,0.000660363
10,32,1000,0.00180106,0.00183952,0.0018176,0.000686704
10,64,1000,0.00210636,0.00256363,0.00230386,0.000861326
10,128,1000,0.00302212,0.00393558,0.00442053,0.00301779
10,4,10000,0.0157241,0.00679254,0.00694171,0.00800161
10,8,10000,0.0154409,0.00674312,0.00679181,0.00799581
10,16,10000,0.0153825,0.00688828,0.00692465,0.00761553
10,32,10000,0.0151258,0.00768103,0.00704731,0.00753036
10,64,10000,0.0158875,0.00843936,0.0080344,0.00782886
10,128,10000,0.0182887,0.0202565,0.0206337,0.00962702
10,4,100000,0.156431,0.0535719,0.057297,0.0722094
10,8,100000,0.153497,0.051625,0.0445397,0.069626
10,16,100000,0.151161,0.0446946,0.0439525,0.0582004
10,32,100000,0.151204,0.0450445,0.0457004,0.0547278
10,64,100000,0.1554,0.0469181,0.0471522,0.0557999
10,128,100000,0.170421,0.0546949,0.0566626,0.0609473
10,4,1000000,1.57207,0.465585,0.459186,0.652223
10,8,1000000,1.53647,0.455036,0.454326,0.703814
10,16,1000000,1.51053,0.449052,0.451536,0.592388
10,32,1000000,1.51145,0.451182,0.459635,0.559993
10,64,1000000,1.55686,0.461405,0.471874,0.578022
10,128,1000000,1.7006,0.505235,0.539838,0.621978
10,4,10000000,15.6318,4.67467,4.59999,6.39132
10,8,10000000,15.2575,4.53135,4.54846,7.03791
10,16,10000000,15.005,4.58724,4.54714,5.86885
10,32,10000000,15.0174,4.50306,4.59488,5.55608
10,64,10000000,15.3614,4.60391,4.67529,5.66056
10,128,10000000,16.831,5.06503,5.41432,6.11892
10,4,100000000,155.829,46.594,45.8213,63.5537
10,8,100000000,152.076,45.3054,45.2035,70.1286
10,16,100000000,149.078,44.48,44.7389,58.177
10,32,100000000,150.126,45.2796,45.9289,55.8743
10,64,100000000,154.379,45.6795,46.9688,56.6101
10,128,100000000,168.702,49.5326,53.8533,60.7571
